iso3,country,region,income_group,latitude,longitude,country_fr
ABW,Aruba,Latin America & Caribbean ,High income,12.5167,-70.0167,Aruba
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,34.5228,69.1761,Afghanistan
AGO,Angola,Sub-Saharan Africa ,Lower middle income,-8.81155,13.242,Angola
ALB,Albania,Europe & Central Asia,Upper middle income,41.3317,19.8172,Albanie
AND,Andorra,Europe & Central Asia,High income,42.5075,1.5218,Andorre
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,24.4764,54.3705,Émirats arabes unis
ARG,Argentina,Latin America & Caribbean ,Upper middle income,-34.6118,-58.4173,Argentine
ARM,Armenia,Europe & Central Asia,Upper middle income,40.1596,44.509,Arménie
ASM,American Samoa,East Asia & Pacific,High income,-14.2846,-170.691,Samoa américaines
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,17.1175,-61.8456,Antigua-et-Barbuda
AUS,Australia,East Asia & Pacific,High income,-35.282,149.129,Australie
AUT,Austria,Europe & Central Asia,High income,48.2201,16.3798,Autriche
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,40.3834,49.8932,Azerbaïdjan
BDI,Burundi,Sub-Saharan Africa ,Low income,-3.3784,29.3639,Burundi
BEL,Belgium,Europe & Central Asia,High income,50.8371,4.36761,Belgique
BEN,Benin,Sub-Saharan Africa ,Lower middle income,6.4779,2.6323,Bénin
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,12.3605,-1.53395,Burkina Faso
BGD,Bangladesh,South Asia,Lower middle income,23.7055,90.4113,Bangladesh
BGR,Bulgaria,Europe & Central Asia,High income,42.7105,23.3238,Bulgarie
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,26.1921,50.5354,Bahreïn
BHS,"Bahamas, The",Latin America & Caribbean ,High income,25.0661,-77.339,Bahamas
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,43.8607,18.4214,Bosnie-Herzégovine
BLR,Belarus,Europe & Central Asia,Upper middle income,53.9678,27.5766,Bélarus
BLZ,Belize,Latin America & Caribbean ,Upper middle income,17.2534,-88.7713,Belize
BMU,Bermuda,North America,High income,32.3293,-64.706,Bermudes
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,-13.9908,-66.1936,Bolivie
BRA,Brazil,Latin America & Caribbean ,Upper middle income,-15.7801,-47.9292,Brésil
BRB,Barbados,Latin America & Caribbean ,High income,13.0935,-59.6105,Barbade
BRN,Brunei Darussalam,East Asia & Pacific,High income,4.94199,114.946,Brunéi Darussalam
BTN,Bhutan,South Asia,Lower middle income,27.5768,89.6177,Bhoutan
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,-24.6544,25.9201,Botswana
